Bitcoin,"$7,869.87","$143,722,735,495"
Ethereum,$197.86,"$21,769,847,891"
XRP,$0.205114,"$8,987,689,507"
Bitcoin Cash,$267.14,"$4,894,547,156"
Tether,$1.00,"$4,648,330,742"
Bitcoin SV,$196.54,"$3,600,422,118"
Litecoin,$48.96,"$3,145,870,497"
EOS,$3.02,"$2,778,209,451"
Binance Coin,$16.42,"$2,553,850,164"
Tezos,$2.42,"$1,700,463,887"
Chainlink,$3.93,"$1,374,556,676"
Cardano,$0.040602,"$1,052,697,544"
Stellar,$0.050782,"$1,028,725,785"
TRON,$0.014741,"$982,953,714"
UNUS SED LEO,$0.981949,"$981,457,244"
Monero,$54.06,"$944,725,750"
Huobi Token,$4.01,"$915,412,754"
Ethereum Classic,$6.79,"$790,194,998"
Crypto.com Coin,$0.048743,"$692,595,529"
Neo,$9.67,"$682,049,731"
Dash,$71.70,"$672,041,126"
HedgeTrade,$2.16,"$622,921,516"
Cosmos,$2.96,"$564,717,066"
IOTA,$0.188313,"$523,420,816"
Maker,$505.38,"$498,785,904"
USD Coin,$1.00,"$455,059,633"
NEM,$0.042647,"$383,827,490"
Zcash,$41.02,"$382,302,086"
Ontology,$0.575276,"$366,652,652"
Basic Attention Token,$0.191769,"$275,842,014"
Dogecoin,$0.002195,"$271,372,433"
OKB,$4.43,"$265,900,103"
VeChain,$0.004613,"$255,816,907"
FTX Token,$2.40,"$231,395,370"
Paxos Standard,$1.00,"$200,603,598"
Qtum,$1.91,"$183,992,668"
Algorand,$0.270291,"$175,852,840"
Decred,$15.56,"$167,822,976"
Bitcoin Gold,$9.28,"$162,539,505"
ICON,$0.306467,"$161,507,029"
Hedera Hashgraph,$0.045235,"$152,775,098"
ZB Token,$0.292850,"$135,674,072"
0x,$0.216516,"$135,600,885"
Lisk,$1.10,"$134,603,263"
Ravencoin,$0.023112,"$131,384,713"
TrueUSD,$1.00,"$129,393,120"
Augur,$11.65,"$128,154,149"
Kyber Network,$0.708953,"$127,238,968"
Synthetix Network Token,$0.743607,"$125,380,390"
Multi-collateral DAI,$1.00,"$118,994,681"
Bitcoin Diamond,$0.586726,"$109,420,212"
Waves,$1.07,"$108,560,318"
KuCoin Shares,$1.32,"$107,796,565"
OmiseGO,$0.765951,"$107,421,138"
Binance USD,$1.00,"$97,822,634"
THETA,$0.107699,"$93,752,138"
Nano,$0.674494,"$89,875,185"
MonaCoin,$1.36,"$89,079,009"
Holo,$0.000528,"$86,269,401"
Nexo,$0.150971,"$84,543,593"
Nervos Network,$0.006145,"$83,755,293"
DxChain Token,$0.001620,"$80,985,078"
Horizen,$8.86,"$76,142,867"
Bytom,$0.075033,"$75,220,774"
DigixDAO,$37.40,"$74,804,711"
Steem,$0.202774,"$73,390,089"
Siacoin,$0.001711,"$71,559,329"
Enjin Coin,$0.086286,"$70,303,450"
DigiByte,$0.005385,"$69,505,981"
MCO,$4.27,"$67,441,508"
BitTorrent,$0.000317,"$67,146,637"
v.systems,$0.034564,"$67,109,666"
HyperCash,$1.42,"$63,404,816"
Komodo,$0.529498,"$62,851,546"
Bytecoin,$0.000334,"$61,457,264"
ABBC Coin,$0.106860,"$59,351,604"
Terra,$0.202757,"$58,346,539"
BitShares,$0.021155,"$58,179,386"
Zilliqa,$0.005783,"$57,598,025"
Ren,$0.067357,"$57,338,269"
Matic Network,$0.020291,"$55,972,122"
Seele,$0.077309,"$54,084,283"
Swipe,$0.876814,"$53,593,627"
IOST,$0.004416,"$53,058,320"
Verge,$0.003258,"$52,782,058"
Chiliz,$0.010380,"$47,408,093"
Ardor,$0.046568,"$46,521,895"
Aion,$0.115194,"$46,167,014"
Aeternity,$0.150414,"$45,686,252"
Energi,$1.70,"$45,653,012"
WAX,$0.042905,"$45,437,111"
Status,$0.012700,"$44,074,979"
Loopring,$0.043541,"$43,910,551"
Golem,$0.044058,"$43,179,490"
Molecular Future,$0.502066,"$42,700,838"
Zcoin,$4.24,"$40,912,230"
aelf,$0.073021,"$39,758,498"
Yap Stone,$0.257500,"$38,625,066"
Aragon,$1.15,"$37,583,254"
Quant,$3.11,"$37,542,939"
